"","MONTH_REPORTED","EV","Hybrid","ICE","PHEV","not_identified","total_vehicles","date","powertrain","fleet_pct"
"1","2018-07",176,5710,109176,88,213,115363,2018-07-01,"pct_ICE",94.64
"2","2018-07",176,5710,109176,88,213,115363,2018-07-01,"pct_EV",0.15
"3","2018-07",176,5710,109176,88,213,115363,2018-07-01,"pct_PHEV",0.08
"4","2018-07",176,5710,109176,88,213,115363,2018-07-01,"pct_Hybrid",4.95
"5","2018-07",176,5710,109176,88,213,115363,2018-07-01,"pct_no_ID",0.18
"6","2018-08",179,5752,111404,88,202,117625,2018-08-01,"pct_ICE",94.71
"7","2018-08",179,5752,111404,88,202,117625,2018-08-01,"pct_EV",0.15
"8","2018-08",179,5752,111404,88,202,117625,2018-08-01,"pct_PHEV",0.07
"9","2018-08",179,5752,111404,88,202,117625,2018-08-01,"pct_Hybrid",4.89
"10","2018-08",179,5752,111404,88,202,117625,2018-08-01,"pct_no_ID",0.17
"11","2018-09",146,5727,111701,94,203,117871,2018-09-01,"pct_ICE",94.77
"12","2018-09",146,5727,111701,94,203,117871,2018-09-01,"pct_EV",0.12
"13","2018-09",146,5727,111701,94,203,117871,2018-09-01,"pct_PHEV",0.08
"14","2018-09",146,5727,111701,94,203,117871,2018-09-01,"pct_Hybrid",4.86
"15","2018-09",146,5727,111701,94,203,117871,2018-09-01,"pct_no_ID",0.17
"16","2018-10",154,5853,108629,87,152,114875,2018-10-01,"pct_ICE",94.56
"17","2018-10",154,5853,108629,87,152,114875,2018-10-01,"pct_EV",0.13
"18","2018-10",154,5853,108629,87,152,114875,2018-10-01,"pct_PHEV",0.08
"19","2018-10",154,5853,108629,87,152,114875,2018-10-01,"pct_Hybrid",5.1
"20","2018-10",154,5853,108629,87,152,114875,2018-10-01,"pct_no_ID",0.13
"21","2018-11",165,5800,107656,82,140,113843,2018-11-01,"pct_ICE",94.57
"22","2018-11",165,5800,107656,82,140,113843,2018-11-01,"pct_EV",0.14
