"","MONTH_REPORTED","EV","Hybrid","ICE","PHEV","not_identified","total_vehicles","date","powertrain","fleet_pct"
"1","2018-07",183,5954,114510,89,228,120964,2018-07-01,"pct_ICE",94.66
"2","2018-07",183,5954,114510,89,228,120964,2018-07-01,"pct_EV",0.15
"3","2018-07",183,5954,114510,89,228,120964,2018-07-01,"pct_PHEV",0.07
"4","2018-07",183,5954,114510,89,228,120964,2018-07-01,"pct_Hybrid",4.92
"5","2018-07",183,5954,114510,89,228,120964,2018-07-01,"pct_no_ID",0.19
"6","2018-08",188,6000,116870,91,216,123365,2018-08-01,"pct_ICE",94.74
"7","2018-08",188,6000,116870,91,216,123365,2018-08-01,"pct_EV",0.15
"8","2018-08",188,6000,116870,91,216,123365,2018-08-01,"pct_PHEV",0.07
"9","2018-08",188,6000,116870,91,216,123365,2018-08-01,"pct_Hybrid",4.86
"10","2018-08",188,6000,116870,91,216,123365,2018-08-01,"pct_no_ID",0.18
"11","2018-09",155,5976,117216,97,219,123663,2018-09-01,"pct_ICE",94.79
"12","2018-09",155,5976,117216,97,219,123663,2018-09-01,"pct_EV",0.13
"13","2018-09",155,5976,117216,97,219,123663,2018-09-01,"pct_PHEV",0.08
"14","2018-09",155,5976,117216,97,219,123663,2018-09-01,"pct_Hybrid",4.83
"15","2018-09",155,5976,117216,97,219,123663,2018-09-01,"pct_no_ID",0.18
"16","2018-10",161,6122,114530,92,164,121069,2018-10-01,"pct_ICE",94.6
"17","2018-10",161,6122,114530,92,164,121069,2018-10-01,"pct_EV",0.13
"18","2018-10",161,6122,114530,92,164,121069,2018-10-01,"pct_PHEV",0.08
"19","2018-10",161,6122,114530,92,164,121069,2018-10-01,"pct_Hybrid",5.06
"20","2018-10",161,6122,114530,92,164,121069,2018-10-01,"pct_no_ID",0.14
"21","2018-11",174,6095,113636,87,149,120141,2018-11-01,"pct_ICE",94.59
"22","2018-11",174,6095,113636,87,149,120141,2018-11-01,"pct_EV",0.14
"23","2018-11",174,6095,113636,87,149,120141,2018-11-01,"pct_PHEV",0.07
"24","2018-11",174,6095,113636,87,149,120141,2018-11-01,"pct_Hybrid",5.07
"25","2018-11",174,6095,113636,87,149,120141,2018-11-01,"pct_no_ID",0.12
"26","2018-12",182,6300,116951,94,137,123664,2018-12-01,"pct_ICE",94.57
"27","2018-12",182,6300,116951,94,137,123664,2018-12-01,"pct_EV",0.15
"28","2018-12",182,6300,116951,94,137,123664,2018-12-01,"pct_PHEV",0.08
"29","2018-12",182,6300,116951,94,137,123664,2018-12-01,"pct_Hybrid",5.09
"30","2018-12",182,6300,116951,94,137,123664,2018-12-01,"pct_no_ID",0.11
"31","2019-01",193,6438,116360,93,128,123212,2019-01-01,"pct_ICE",94.44
"32","2019-01",193,6438,116360,93,128,123212,2019-01-01,"pct_EV",0.16
"33","2019-01",193,6438,116360,93,128,123212,2019-01-01,"pct_PHEV",0.08
"34","2019-01",193,6438,116360,93,128,123212,2019-01-01,"pct_Hybrid",5.23
"35","2019-01",193,6438,116360,93,128,123212,2019-01-01,"pct_no_ID",0.1
"36","2019-02",187,6242,111408,84,89,118010,2019-02-01,"pct_ICE",94.41
"37","2019-02",187,6242,111408,84,89,118010,2019-02-01,"pct_EV",0.16
"38","2019-02",187,6242,111408,84,89,118010,2019-02-01,"pct_PHEV",0.07
"39","2019-02",187,6242,111408,84,89,118010,2019-02-01,"pct_Hybrid",5.29
"40","2019-02",187,6242,111408,84,89,118010,2019-02-01,"pct_no_ID",0.08
"41","2019-03",197,6293,113194,87,81,119852,2019-03-01,"pct_ICE",94.44
"42","2019-03",197,6293,113194,87,81,119852,2019-03-01,"pct_EV",0.16
"43","2019-03",197,6293,113194,87,81,119852,2019-03-01,"pct_PHEV",0.07
"44","2019-03",197,6293,113194,87,81,119852,2019-03-01,"pct_Hybrid",5.25
"45","2019-03",197,6293,113194,87,81,119852,2019-03-01,"pct_no_ID",0.07
"46","2019-04",229,6975,119568,102,142,127016,2019-04-01,"pct_ICE",94.14
"47","2019-04",229,6975,119568,102,142,127016,2019-04-01,"pct_EV",0.18
"48","2019-04",229,6975,119568,102,142,127016,2019-04-01,"pct_PHEV",0.08
"49","2019-04",229,6975,119568,102,142,127016,2019-04-01,"pct_Hybrid",5.49
"50","2019-04",229,6975,119568,102,142,127016,2019-04-01,"pct_no_ID",0.11
"51","2019-05",232,6619,114379,94,71,121395,2019-05-01,"pct_ICE",94.22
"52","2019-05",232,6619,114379,94,71,121395,2019-05-01,"pct_EV",0.19
"53","2019-05",232,6619,114379,94,71,121395,2019-05-01,"pct_PHEV",0.08
"54","2019-05",232,6619,114379,94,71,121395,2019-05-01,"pct_Hybrid",5.45
"55","2019-05",232,6619,114379,94,71,121395,2019-05-01,"pct_no_ID",0.06
"56","2019-06",244,6546,113585,99,122,120596,2019-06-01,"pct_ICE",94.19
"57","2019-06",244,6546,113585,99,122,120596,2019-06-01,"pct_EV",0.2
"58","2019-06",244,6546,113585,99,122,120596,2019-06-01,"pct_PHEV",0.08
"59","2019-06",244,6546,113585,99,122,120596,2019-06-01,"pct_Hybrid",5.43
"60","2019-06",244,6546,113585,99,122,120596,2019-06-01,"pct_no_ID",0.1
"61","2019-07",191,6705,117000,101,41,124038,2019-07-01,"pct_ICE",94.33
"62","2019-07",191,6705,117000,101,41,124038,2019-07-01,"pct_EV",0.15
"63","2019-07",191,6705,117000,101,41,124038,2019-07-01,"pct_PHEV",0.08
"64","2019-07",191,6705,117000,101,41,124038,2019-07-01,"pct_Hybrid",5.41
"65","2019-07",191,6705,117000,101,41,124038,2019-07-01,"pct_no_ID",0.03
"66","2019-08",193,6869,117977,104,49,125192,2019-08-01,"pct_ICE",94.24
"67","2019-08",193,6869,117977,104,49,125192,2019-08-01,"pct_EV",0.15
"68","2019-08",193,6869,117977,104,49,125192,2019-08-01,"pct_PHEV",0.08
"69","2019-08",193,6869,117977,104,49,125192,2019-08-01,"pct_Hybrid",5.49
"70","2019-08",193,6869,117977,104,49,125192,2019-08-01,"pct_no_ID",0.04
"71","2019-09",203,7025,118008,96,50,125382,2019-09-01,"pct_ICE",94.12
"72","2019-09",203,7025,118008,96,50,125382,2019-09-01,"pct_EV",0.16
"73","2019-09",203,7025,118008,96,50,125382,2019-09-01,"pct_PHEV",0.08
"74","2019-09",203,7025,118008,96,50,125382,2019-09-01,"pct_Hybrid",5.6
"75","2019-09",203,7025,118008,96,50,125382,2019-09-01,"pct_no_ID",0.04
"76","2019-10",214,7165,116137,106,96,123718,2019-10-01,"pct_ICE",93.87
"77","2019-10",214,7165,116137,106,96,123718,2019-10-01,"pct_EV",0.17
"78","2019-10",214,7165,116137,106,96,123718,2019-10-01,"pct_PHEV",0.09
"79","2019-10",214,7165,116137,106,96,123718,2019-10-01,"pct_Hybrid",5.79
"80","2019-10",214,7165,116137,106,96,123718,2019-10-01,"pct_no_ID",0.08
"81","2019-11",230,7337,118255,106,97,126025,2019-11-01,"pct_ICE",93.83
"82","2019-11",230,7337,118255,106,97,126025,2019-11-01,"pct_EV",0.18
"83","2019-11",230,7337,118255,106,97,126025,2019-11-01,"pct_PHEV",0.08
"84","2019-11",230,7337,118255,106,97,126025,2019-11-01,"pct_Hybrid",5.82
"85","2019-11",230,7337,118255,106,97,126025,2019-11-01,"pct_no_ID",0.08
"86","2019-12",237,7670,122006,112,89,130114,2019-12-01,"pct_ICE",93.77
"87","2019-12",237,7670,122006,112,89,130114,2019-12-01,"pct_EV",0.18
"88","2019-12",237,7670,122006,112,89,130114,2019-12-01,"pct_PHEV",0.09
"89","2019-12",237,7670,122006,112,89,130114,2019-12-01,"pct_Hybrid",5.89
"90","2019-12",237,7670,122006,112,89,130114,2019-12-01,"pct_no_ID",0.07
"91","2020-01",206,7238,112782,112,105,120443,2020-01-01,"pct_ICE",93.64
